"dependency","n"
"webpack",7377
"babel-loader",7023
"babel-core",6692
"babel-preset-react",5424
"eslint-plugin-react",5409
"babel-preset-es2015",5366
"eslint",5357
"css-loader",4951
"style-loader",4904
"webpack-dev-server",4554
"babel-eslint",4523
"mocha",3768
"chai",2853
"react-hot-loader",2795
"file-loader",2794
"extract-text-webpack-plugin",2500
"react-addons-test-utils",2425
"gulp",2385
"url-loader",2347
"webpack-hot-middleware",2311
"webpack-dev-middleware",2280
"babel-preset-stage-0",2250
"sass-loader",2223
"node-sass",2218
"browserify",1854
"eslint-config-airbnb",1851
"json-loader",1834
"rimraf",1786
"sinon",1771
"karma",1727
"html-webpack-plugin",1585
"eslint-loader",1574
"postcss-loader",1552
"babel-plugin-react-transform",1476
"babel",1444
"karma-mocha",1398
"express",1392
"babel-cli",1387
"karma-webpack",1373
"react-transform-hmr",1373
"redux-devtools",1357
"karma-phantomjs-launcher",1230
"babelify",1182
"eslint-plugin-import",1176
"babel-preset-react-hmre",1169
"watchify",1162
"enzyme",1119
"jsdom",1116
"redbox-react",1115
"babel-polyfill",1112
"autoprefixer",1082
"vinyl-source-stream",1080
"gulp-util",1060
"react-transform-catch-errors",1031
"babel-register",1018
"nodemon",1013
"karma-sourcemap-loader",994
"eslint-plugin-jsx-a11y",955
"del",934
"karma-mocha-reporter",913
"karma-coverage",903
"gulp-uglify",899
"babel-runtime",889
"redux-devtools-log-monitor",827
"redux-devtools-dock-monitor",822
"reactify",799
"cross-env",789
"less",789
"browser-sync",785
"less-loader",782
"eslint-plugin-babel",753
"karma-chrome-launcher",751
"node-libs-browser",735
"autoprefixer-loader",730
"jest-cli",691
"babel-plugin-transform-runtime",671
"sinon-chai",650
"expect",644
"gulp-concat",644
"gulp-sass",634
"gulp-sourcemaps",631
"minimist",613
"gulp-rename",592
"phantomjs",566
"jsx-loader",531
"phantomjs-prebuilt",528
"karma-chai",513
"babel-plugin-transform-decorators-legacy",497
"phantomjs-polyfill",494
"gulp-autoprefixer",475
"run-sequence",470
"concurrently",465
"isparta-loader",463
"chai-as-promised",454
"cheerio",449
"eslint-plugin-standard",448
"coveralls",443
"imports-loader",443
"vinyl-buffer",443
"electron-prebuilt",439
